gene_symbol	STRING_id	regulation	degree	betweenness	closeness	hub_score	is_hub
PRKCA	9606.ENSP00000408695	Down	5	0.47619047619047616	8.523073176671132e-4	1	TRUE
ACTG1	9606.ENSP00000458162	Up	2	0.2857142857142857	5.889777029869583e-4	0.2811924318307331	FALSE
PLCG1	9606.ENSP00000244007	Down	4	0.2857142857142857	7.303077725612937e-4	0.7693188822599807	TRUE
PLCD4	9606.ENSP00000388631	Down	4	0.09523809523809523	7.403490216816499e-4	0.8772858209072497	TRUE
ITGAV	9606.ENSP00000261023	Up	1	0	4.3373195365264267e-4	0.058430738611617905	FALSE
PIK3R2	9606.ENSP00000222254	Up	1	0	4.623208506703652e-4	0.20878961427629006	FALSE
PLCD3	9606.ENSP00000479636	Up	3	0	6.195786864931846e-4	0.7532529276180305	TRUE
PRKCG	9606.ENSP00000263431	Down	4	0	6.944444444444445e-4	0.9305117813753288	TRUE
