gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation	in_kegg
MED13L	-0.7654	11.42	-15.07	 2.97e-45	 1.04e-44	91.16	NS	TRUE
HIF1A	0.6615	12.51	11.43	 4.43e-28	 1.05e-27	51.81	NS	TRUE
MAPK1	0.7179	12.36	15.46	 2.85e-47	 1.06e-46	95.79	NS	TRUE
ATP1A3	-0.519	3.51	-4.48	 8.68e-06	 1.11e-05	1.26	NS	TRUE
SLC16A10	0.1967	7.51	2.58	 1.00e-02	 1.15e-02	-5.32	NS	TRUE
NOTCH3	-0.781	12.24	-12.77	 4.45e-34	 1.15e-33	65.54	NS	TRUE
HDAC3	-0.2149	10.74	-6.23	 7.74e-10	 1.17e-09	10.3	NS	TRUE
PLCD3	2.3843	10.85	24.13	 1.20e-96	 1.19e-95	209.28	Up	TRUE
ATP1A2	-2.2958	6.93	-22.44	 1.61e-86	 1.20e-85	185.98	Down	TRUE
RXRA	-0.2312	11.96	-5.4	 8.66e-08	 1.21e-07	5.71	NS	TRUE
WNT4	-0.219	6.15	-1.59	 1.11e-01	 1.22e-01	-7.37	NS	TRUE
PLCE1	-0.6948	10.52	-9.39	 6.11e-20	 1.23e-19	33.22	NS	TRUE
PLCB4	0.211	10.4	2.54	 1.14e-02	 1.29e-02	-5.44	NS	TRUE
EP300	-0.0776	11.97	-1.53	 1.26e-01	 1.36e-01	-7.47	NS	TRUE
MED24	-0.3817	11.24	-10.67	 6.40e-25	 1.36e-24	44.58	NS	TRUE
GSK3B	0.8721	11	23.61	 1.60e-93	 1.36e-92	202.09	NS	TRUE
RHEB	0.4281	11.56	10.92	 5.99e-26	 1.37e-25	46.93	NS	TRUE
MED30	-0.1712	8.1	-4.92	 1.04e-06	 1.41e-06	3.3	NS	TRUE
ATP1B4	-0.0978	0.42	-1.5	 1.33e-01	 1.43e-01	-7.51	NS	TRUE
PIK3CB	0.7794	11.21	18.05	 3.36e-61	 1.43e-60	127.78	NS	TRUE
MED13	1.2028	11.88	20.88	 2.28e-77	 1.43e-76	164.94	Up	TRUE
RCAN1	-0.1095	10.21	-1.45	 1.48e-01	 1.58e-01	-7.6	NS	TRUE
PLCZ1	-0.0718	0.34	-1.43	 1.55e-01	 1.63e-01	-7.63	NS	TRUE
MTOR	-0.2578	11.1	-6.55	 1.01e-10	 1.63e-10	12.29	NS	TRUE
PLCB1	-0.4658	7.84	-6.91	 9.91e-12	 1.64e-11	14.57	NS	TRUE
ATP1B3	0.1788	11.39	3.21	 1.38e-03	 1.66e-03	-3.52	NS	TRUE
PLCB2	-0.6688	8.36	-7.58	 1.00e-13	 1.71e-13	19.08	NS	TRUE
MDM2	0.65	11.46	13.59	 6.32e-38	 1.75e-37	74.35	NS	TRUE
KAT2B	-0.4062	10.46	-7.89	 9.96e-15	 1.77e-14	21.36	NS	TRUE
NOTCH2	0.3627	12.54	5.76	 1.23e-08	 1.79e-08	7.6	NS	TRUE
PIK3R2	1.3445	2.15	7.89	 1.03e-14	 1.80e-14	21.33	Up	TRUE
FXYD2	-1.7404	4.17	-20.69	 3.14e-76	 1.87e-75	162.32	Down	TRUE
PFKP	0.6848	11.95	13.58	 7.00e-38	 1.89e-37	74.25	NS	TRUE
ATP1A1	0.2743	15.6	4.86	 1.43e-06	 1.92e-06	2.99	NS	TRUE
PRKCG	-1.0474	1.18	-12.06	 7.90e-31	 1.92e-30	58.1	Down	TRUE
MED27	0.7512	9.21	21.72	 2.81e-82	 1.97e-81	176.23	NS	TRUE
RXRB	-0.6754	11.38	-18.02	 4.86e-61	 1.99e-60	127.41	NS	TRUE
FOXO1	-0.3463	11.04	-6.52	 1.26e-10	 2.00e-10	12.07	NS	TRUE
BMP4	-0.4903	8.03	-5.3	 1.47e-07	 2.04e-07	5.19	NS	TRUE
CTNNB1	0.9361	13.88	18.74	 4.51e-65	 2.06e-64	136.68	NS	TRUE
