gene_symbol	logFC	AveExpr	adj.P.Val	regulation	B	degree	betweenness	is_hub
MYH7	-5.593	3.649372669220945	7.3e-224	Down	506.8609792279577	NA	NA	NA
RXRG	5.284	8.754611749680715	3.3e-149	Up	333.2273704937459	NA	NA	NA
DIO3	-4.975	3.8679942528735634	4.4e-168	Down	377.0607697857082	NA	NA	NA
MYH6	-4.423	2.6516114942528737	1.5e-157	Down	352.5912885255732	NA	NA	NA
ATP2A1	-2.828	5.057977011494253	1.3e-169	Down	380.8990006870816	NA	NA	NA
CCND1	2.649	13.13929374201788	1.0e-214	Up	485.1039307280617	NA	NA	NA
DIO1	-2.603	9.552287228607918	 2.4e-27	Down	50.95174440355095	NA	NA	NA
PLCD3	2.384	10.85250446998723	 1.2e-95	Up	209.27520621349467	3	0	FALSE
ATP1A2	-2.296	6.933127713920817	 1.2e-85	Down	185.98475878365392	NA	NA	NA
PLN	-2.29	7.370582375478927	 5.9e-97	Down	212.35924699851628	NA	NA	NA
KAT2A	-1.799	11.290486590038315	6.1e-136	Down	302.3937390893355	NA	NA	NA
FXYD2	-1.74	4.1737753512132825	 1.9e-75	Down	162.32306133264953	NA	NA	NA
TBC1D4	-1.635	10.58154533844189	 2.1e-94	Down	206.3518162443702	NA	NA	NA
STAT1	1.574	12.287319284802043	 5.8e-73	Up	156.54830668044667	NA	NA	NA
PLCD4	-1.529	7.026163473818646	 2.9e-71	Down	152.59549745057876	4	0.0952	TRUE
PLCG1	-1.427	11.990089399744573	5.8e-141	Down	314.090866923627	4	0.2857	TRUE
ACTG1	1.412	16.56925925925926	1.7e-119	Up	264.4193984753027	2	0.2857	FALSE
PIK3R2	1.345	2.1527215836526183	 1.8e-14	Up	21.326150441254303	1	0	FALSE
GATA4	-1.311	1.0026455938697318	 2.1e-55	Down	115.82029376329079	NA	NA	NA
NOTCH4	-1.212	10.85774840357599	 9.4e-64	Down	135.12194823369433	NA	NA	NA
MYC	-1.209	9.496807151979565	 5.5e-43	Down	87.15009954086662	NA	NA	NA
MED13	1.203	11.878758620689656	 1.4e-76	Up	164.9408043638956	NA	NA	NA
SLCO1C1	-1.199	5.308157215836526	 5.3e-38	Down	75.6170857407424	NA	NA	NA
ATP1B1	1.142	13.940204342273308	 4.1e-71	Up	152.19142557078763	NA	NA	NA
NOTCH1	-1.138	10.766383141762452	 8.0e-80	Down	172.47260130834695	NA	NA	NA
PFKFB2	-1.09	11.467924648786719	 4.5e-40	Down	80.41868236851545	NA	NA	NA
PRKCG	-1.047	1.179016858237548	 1.9e-30	Down	58.096418622647676	4	0	TRUE
ITGAV	1.027	12.700816091954023	 3.5e-55	Up	115.29128839264878	1	0	FALSE
PRKCA	-1.024	8.60321072796935	 6.0e-38	Down	75.47145074819667	5	0.4762	TRUE
